Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-19,167.443,169.223,164.879,165.003,316600,0.0,0.0
2020-05-20,168.687,169.855,166.477,166.927,337700,0.0,0.0
2020-05-21,169.711,171.759,166.525,167.855,513100,0.0,0.0
2020-05-22,169.332,169.332,165.151,167.001,239800,0.38,0.0
2020-05-26,169.514,172.563,169.226,170.128,380300,0.0,0.0
2020-05-27,171.739,171.94,167.423,171.173,473100,0.0,0.0
2020-05-28,172.007,177.751,170.521,174.894,495800,0.0,0.0
2020-05-29,174.529,181.012,172.669,180.618,2973400,0.0,0.0
2020-06-01,180.398,182.153,177.559,177.761,494600,0.0,0.0
2020-06-02,177.109,180.455,175.929,180.081,449500,0.0,0.0
2020-06-03,180.791,185.73,180.283,185.01,356600,0.0,0.0
2020-06-04,183.169,185.068,180.379,182.699,330300,0.0,0.0
2020-06-05,185.835,194.082,184.991,192.404,438100,0.0,0.0
2020-06-08,191.992,195.31,191.435,192.73,329000,0.0,0.0
2020-06-09,189.613,194.408,188.942,191.579,371200,0.0,0.0
2020-06-10,190.467,191.848,188.29,188.53,431600,0.0,0.0
2020-06-11,181.76,183.994,180.331,180.714,346400,0.0,0.0
2020-06-12,186.401,186.401,173.915,178.058,312100,0.0,0.0
2020-06-15,175.085,185.864,174.654,184.215,238100,0.0,0.0
2020-06-16,189.949,191.781,185.576,189.364,379400,0.0,0.0
2020-06-17,186.372,190.007,185.509,186.142,230600,0.0,0.0
2020-06-18,186.008,187.513,184.406,186.276,241400,0.0,0.0
2020-06-19,189.393,190.103,185.068,185.806,359100,0.0,0.0
2020-06-22,185.384,186.622,181.75,184.963,282600,0.0,0.0
2020-06-23,187.811,188.424,183.064,183.236,279900,0.0,0.0
2020-06-24,182.508,182.508,175.843,177.109,266500,0.0,0.0
2020-06-25,177.396,179.065,174.625,179.065,236700,0.0,0.0
2020-06-26,177.78,179.324,171.777,172.966,588900,0.0,0.0
2020-06-29,174.558,179.525,173.407,177.272,212100,0.0,0.0
2020-06-30,177.636,183.265,177.348,181.923,245800,0.0,0.0
2020-07-01,182.978,182.978,177.022,177.895,188500,0.0,0.0
2020-07-02,180.36,181.971,174.289,178.509,263500,0.0,0.0
2020-07-06,181.951,182.201,180.187,181.932,886300,0.0,0.0
2020-07-07,181.29,182.201,179.218,179.333,372500,0.0,0.0
2020-07-08,181.625,181.625,177.751,179.832,181400,0.0,0.0
2020-07-09,180.714,181.328,177.09,179.257,313300,0.0,0.0
2020-07-10,179.707,179.986,177.425,178.729,180900,0.0,0.0
2020-07-13,180.494,182.114,177.137,177.416,200400,0.0,0.0
2020-07-14,177.924,181.961,177.051,181.625,165400,0.0,0.0
2020-07-15,182.105,185.02,181.088,184.397,358400,0.0,0.0
2020-07-16,184.541,184.55,182.277,183.447,358400,0.0,0.0
2020-07-17,183.505,184.847,182.431,182.69,230900,0.0,0.0
2020-07-20,182.402,183.236,176.466,181.875,281800,0.0,0.0
2020-07-21,183.725,185.854,182.469,184.378,450900,0.0,0.0
2020-07-22,184.167,186.2,182.661,185.03,285900,0.0,0.0
2020-07-23,185.624,189.719,185.183,188.415,461000,0.0,0.0
2020-07-24,187.964,187.964,183.917,184.339,219500,0.0,0.0
2020-07-27,184.531,187.839,183.409,187.322,163900,0.0,0.0
2020-07-28,186.66,187.226,184.224,184.445,130500,0.0,0.0
2020-07-29,185.48,189.383,183.802,188.741,175100,0.0,0.0
2020-07-30,185.711,187.005,183.86,185.95,158500,0.0,0.0
2020-07-31,185.778,185.778,182.019,185.682,239800,0.0,0.0
2020-08-03,186.996,189.834,186.037,188.52,248600,0.0,0.0
